prediction,time
2,2022-12-08 14:58:58.193098+01:00
1,2022-12-08 15:06:51.062737+01:00
1,2022-12-08 15:08:19.769640+01:00
3,2022-12-08 15:11:06.354556+01:00
3,2022-12-08 15:26:59.528101+01:00
3,2022-12-08 15:29:53.647475+01:00
3,2022-12-08 15:30:27.506935+01:00
3,2022-12-08 15:32:24.176061+01:00
3,2022-12-08 15:32:49.406972+01:00
3,2022-12-08 15:34:15.287574+01:00
3,2022-12-08 15:35:34.867294+01:00
3,2022-12-08 15:36:48.486040+01:00
3,2022-12-08 15:36:57.491423+01:00
1,2022-12-08 15:40:30.839215+01:00
1,2022-12-08 15:41:07.063121+01:00
1,2022-12-08 15:44:55.200535+01:00
1,2022-12-08 15:55:21.899235+01:00
1,2022-12-08 15:55:59.086208+01:00
1,2022-12-08 15:57:18.286812+01:00
1,2022-12-08 15:57:35.800809+01:00
1,2022-12-08 15:58:26.230427+01:00
1,2022-12-08 15:58:38.308381+01:00
1,2022-12-08 16:00:06.833985+01:00
1,2022-12-08 16:00:55.733173+01:00
1,2022-12-08 16:02:16.439766+01:00
1,2022-12-08 16:02:35.254407+01:00
1,2022-12-08 16:04:09.667461+01:00
1,2022-12-08 16:04:50.841400+01:00
